"Test Number"|"CAS Number "|" Chemical Name"|"Chemical Grade"|"Chemical Analysis"|"Test Method"|" Chemical Purity Mean Op "|" Chemical Purity Mean(%) "|" Chemical Purity Min Op "|" Chemical Purity Min(%) "|" Chemical Purity Max Op "|" Chemical Purity Max(%)"|"Species Scientific Name "|" Species Common Name"|"Species Kingdom "|" Species Phylum "|" Species Sub Phylum "|" Species Superclass "|" Species Class "|" Species Order "|" Species Family "|" Species Genus "|" Species "|" Variety"|"Species Group"|"Organism Lifestage"|" Organism Age Mean Op "|" Organism Age Mean "|" Organism Age Min Op "|" Organism Age Min "|" Organism Age Max Op "|" Organism Age Max "|" Age Units"|"Organism Source"|" Organism Initial Weight Mean Op "|" Organism Initial Weight Mean "|" Organism Initial Weight Min Op "|" Organism Initial Weight Min "|" Organism Initial Weight Max Op "|" Organism Initial Weight Max "|" Organism Initial Weight Units"|Gender|"Organism Comment"|"Exposure Type"|"Media Type"|"Test Location"|"Number of Doses"|"Conc 1 Type (Author) "|" Conc 1 Mean Op (Author) "|" Conc 1 Mean (Author) "|" Conc 1 Min Op (Author) "|" Conc Min 1 (Author) "|" Conc 1 Max Op (Author) "|" Conc 1 Max (Author) "|" Conc 1 Units (Author) "|" Conc 2 Type (Author) "|" Conc 2 Mean Op (Author) "|" Conc 2 Mean (Author) "|" Conc 2 Min Op (Author) "|" Conc Min 2 (Author) "|" Conc 2 Max Op (Author) "|" Conc 2 Max (Author) "|" Conc 2 Units (Author) "|" Conc 3 Type (Author) "|" Conc 3 Mean Op (Author) "|" Conc 3 Mean (Author) "|" Conc 3 Min Op (Author) "|" Conc Min 3 (Author) "|" Conc 3 Max Op (Author) "|" Conc 3 Max (Author) "|" Conc 3 Units (Author)"|"Conc 1 Type (Standardized) "|" Conc 1 Mean Op (Standardized) "|" Conc 1 Mean (Standardized) "|" Conc 1 Min Op (Standardized) "|" Conc Min 1 (Standardized) "|" Conc 1 Max Op (Standardized) "|" Conc 1 Max (Standardized) "|" Conc 1 Units (Standardized) "|" Conc 2 Type (Standardized) "|" Conc 2 Mean Op (Standardized) "|" Conc 2 Mean (Standardized) "|" Conc 2 Min Op (Standardized) "|" Conc Min 2 (Standardized) "|" Conc 2 Max Op (Standardized) "|" Conc 2 Max (Standardized) "|" Conc 2 Units (Standardized) "|" Conc 3 Type (Standardized) "|" Conc 3 Mean Op (Standardized) "|" Conc 3 Mean (Standardized) "|" Conc 3 Min Op (Standardized) "|" Conc Min 3 (Standardized) "|" Conc 3 Max Op (Standardized) "|" Conc 3 Max (Standardized) "|" Conc 3 Units (Standardized)"|Effect|"Effect Measurement"|"EE Comment"|Endpoint|"Response Site"|"Statistical Significance "|" Significance Level Mean Op "|" Significance Level Mean "|" Significance Level Min Op "|" Significance Level Min "|" Significance Level Max Op "|" Significance Level Max"|" Observed Duration Mean Op (Days) "|" Observed Duration Mean (Days) "|" Observed Duration Min Op (Days) "|" Observed Duration Min (Days) "|" Observed Duration Max Op (Days) "|" Observed Duration Max (Days) "|" Observed Duration Units (Days)"|"Chemical Formulation"|"Chemical Comment"|"Species NCBI TaxID"|Control|"Test Type"|Doses|"Experimental Design"|"Other Effects"|"Result Comment"|" Temperature Mean Op "|" Temperature Mean "|" Temperature Min Op "|" Temperature Min "|" Temperature Max Op "|" Temperature Max "|" Temperature Units"|" Dissolved Oxygen Mean Op "|" Dissolved Oxygen Mean "|" Dissolved Oxygen Min Op "|" Dissolved Oxygen Min "|" Dissolved Oxygen Max Op "|" Dissolved Oxygen Max "|" Dissolved Oxygen Units"|" pH Mean Op "|" pH Mean "|" pH Min Op "|" pH Min "|" pH Max Op "|" pH Max"|" Conductivity Mean Op "|" Conductivity Mean "|" Conductivity Min Op "|" Conductivity Min "|" Conductivity Max Op "|" Conductivity Max "|" Conductivity Units"|"General Comments"|"Author "|" Reference Number "|" Title "|" Source "|" Publication Year"|
1120431|7440020|Nickel|Not reported|Unmeasured|Not coded||NR||NR||NR|Brachionus calyciflorus|Rotifer|Animalia|Rotifera|||Monogononta|Ploima|Brachionidae|Brachionus|calyciflorus||Invertebrates; Standard Test Species|Neonate||NR||NR||NR|Not reported|Not reported||NC||NC||NC|NC|Not coded|NR|Static|Fresh water|Lab|NR|Total||4000||3300||4600|ug/L|||||||||||||||||Total||4||3.3||4.6|AI mg/L|||||||||||||||||Mortality|Mortality||LC50|Not reported|Not applicable||NA||NA||NA||1||NR||NR|Day(s)|Not reported|NR|104777|Satisfactory|Not coded|||DIESEL FUEL, TEMP, AGE, SALINITY EFFECTS| ||25|||||C|||||||NR|||||||||||||NR|   |Snell,T.W., B.D. Moffat, C. Janssen, and G. Persoone|9385|Acute Toxicity Tests Using Rotifers IV.  Effects of Cyst Age, Temperature, and Salinity on the Sensitivity of Brachionus calyciflorus|Ecotoxicol. Environ. Saf.21(3): 308-317|1991|
1196676|7440020|Nickel|Not reported|Unmeasured|Not coded||NR||NR||NR|Brachionus calyciflorus|Rotifer|Animalia|Rotifera|||Monogononta|Ploima|Brachionidae|Brachionus|calyciflorus||Invertebrates; Standard Test Species|Neonate||NR||NR||NR|Not reported|Not reported||NC||NC||NC|NC|Not coded|NR|Static|Fresh water|Lab|NR|Total||4000||3300||4600|ug/L|||||||||||||||||Total||4||3.3||4.6|AI mg/L|||||||||||||||||Mortality|Mortality||LC50|Not reported|Not applicable||NA||NA||NA||1||NR||NR|Day(s)|Not reported|NR|104777|Concurrent control|Not coded|||COEFFICIENTS OF VARIATION, TEMP, DIESEL FUEL| |||||||NR|||||||NR|||||||||||||NR|   |Snell,T.W.|17689|New Rotifer Bioassays for Aquatic Toxicology|Final Report, U.S.Army Medical Research and Development Command, Fort Detrick, Frederick, MD:29 p.|1991|
1031413|7440020|Nickel|Not reported|Unmeasured|Not coded||NR||NR||NR|Amnicola sp.|Spire Snail|Animalia|Mollusca|||Gastropoda|Neotaenioglossa|Hydrobiidae|Amnicola|sp.||Molluscs|Adult||NR||NR||NR|Not reported|Not reported||NC||NC||NC|NC|Not coded|NR|Static|Fresh water|Lab|NR|Total||14300||NR||NR|ug/L|||||||||||||||||Total||14.3||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality||LC50*|Not reported|Not applicable||NA||NA||NA||4||NR||NR|Day(s)|Not reported|NR||Insufficient|Not coded|||| ||17|||||C||6.2|||||mg/L||7.6|||||||||||NR|   |Rehwoldt,R., L. Lasko, C. Shaw, and E. Wirhowski|2020|The Acute Toxicity of Some Heavy Metal Ions Toward Benthic Organisms|Bull. Environ. Contam. Toxicol.10(5): 291-294|1973|
1031411|7440020|Nickel|Not reported|Unmeasured|Not coded||NR||NR||NR|Amnicola sp.|Spire Snail|Animalia|Mollusca|||Gastropoda|Neotaenioglossa|Hydrobiidae|Amnicola|sp.||Molluscs|Egg||NR||NR||NR|Not reported|Not reported||NC||NC||NC|NC|Not coded|NR|Static|Fresh water|Lab|NR|Total||11400||NR||NR|ug/L|||||||||||||||||Total||11.4||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality||LC50*|Not reported|Not applicable||NA||NA||NA||4||NR||NR|Day(s)|Not reported|NR||Insufficient|Not coded|||| ||17|||||C||6.2|||||mg/L||7.6|||||||||||NR|   |Rehwoldt,R., L. Lasko, C. Shaw, and E. Wirhowski|2020|The Acute Toxicity of Some Heavy Metal Ions Toward Benthic Organisms|Bull. Environ. Contam. Toxicol.10(5): 291-294|1973|
1031412|7440020|Nickel|Not reported|Unmeasured|Not coded||NR||NR||NR|Amnicola sp.|Spire Snail|Animalia|Mollusca|||Gastropoda|Neotaenioglossa|Hydrobiidae|Amnicola|sp.||Molluscs|Adult||NR||NR||NR|Not reported|Not reported||NC||NC||NC|NC|Not coded|NR|Static|Fresh water|Lab|NR|Total||21200||NR||NR|ug/L|||||||||||||||||Total||21.2||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality||LC50*|Not reported|Not applicable||NA||NA||NA||4||NR||NR|Day(s)|Not reported|NR||Insufficient|Not coded|||| ||17|||||C||6.2|||||mg/L||7.6|||||||||||NR|   |Rehwoldt,R., L. Lasko, C. Shaw, and E. Wirhowski|2020|The Acute Toxicity of Some Heavy Metal Ions Toward Benthic Organisms|Bull. Environ. Contam. Toxicol.10(5): 291-294|1973|
1031410|7440020|Nickel|Not reported|Unmeasured|Not coded||NR||NR||NR|Amnicola sp.|Spire Snail|Animalia|Mollusca|||Gastropoda|Neotaenioglossa|Hydrobiidae|Amnicola|sp.||Molluscs|Egg||NR||NR||NR|Not reported|Not reported||NC||NC||NC|NC|Not coded|NR|Static|Fresh water|Lab|NR|Total||26000||NR||NR|ug/L|||||||||||||||||Total||26||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality||LC50*|Not reported|Not applicable||NA||NA||NA||1||NR||NR|Day(s)|Not reported|NR||Insufficient|Not coded|||| ||17|||||C||6.2|||||mg/L||7.6|||||||||||NR|   |Rehwoldt,R., L. Lasko, C. Shaw, and E. Wirhowski|2020|The Acute Toxicity of Some Heavy Metal Ions Toward Benthic Organisms|Bull. Environ. Contam. Toxicol.10(5): 291-294|1973|
1031400|7440020|Nickel|Not reported|Unmeasured|Not coded||NR||NR||NR|Nais sp.|Oligochaete|Animalia|Annelida|||Oligochaeta|Haplotaxida|Naididae|Nais|sp.||Worms|Not reported||NR||NR||NR|Not reported|Not reported||NC||NC||NC|NC|Not coded|NR|Static|Fresh water|Lab|NR|Total||16200||NR||NR|ug/L|||||||||||||||||Total||16.2||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality||LC50*|Not reported|Not applicable||NA||NA||NA||1||NR||NR|Day(s)|Not reported|NR|74730|Insufficient|Not coded|||| ||17|||||C||6.2|||||mg/L||7.6|||||||||||NR|   |Rehwoldt,R., L. Lasko, C. Shaw, and E. Wirhowski|2020|The Acute Toxicity of Some Heavy Metal Ions Toward Benthic Organisms|Bull. Environ. Contam. Toxicol.10(5): 291-294|1973|
1113931|7440020|Nickel|Not reported|Unmeasured|Not coded||NR||NR||NR|Girardia tigrina|Brown Planaria|Animalia|Platyhelminthes|||Turbellaria|Tricladida||Girardia|tigrina||Worms|Not reported||NR||NR||NR|Not reported|Not reported||NC||NC||NC|NC|Not coded|NR|Static|Fresh water|Lab|NR|Total||16800||NR||NR|ug/L|||||||||||||||||Total||16.8||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality||LC50|Not reported|Not applicable||NA||NA||NA||4||NR||NR|Day(s)|Not reported|NR|6162|Insufficient|Not coded|||50 % POP KILLED AT PH OF 3.95 AND 10.8 WITH INC SURVIVAL| O EFCT CONT/WITHIN THIS RANGE, INC TOXICITY IN TESTS AT 30 C AND HARD 80 MG/L// TESTED IN DARKNESS// ||20|||||C|||||||NR||||7.3||7.9|||||||NR|   O EFCT CONT/WITHIN THIS RANGE, INC TOXICITY IN TESTS AT 30 C AND HARD 80 MG/L// TESTED IN DARKNESS// |See,C.L., A.L.,Jr. Buikema, and J.,Jr. Cairns|8709|The Effects of Selected Toxicants on Survival of Dugesia tigrina (Turbellaria)|ASB Bull.21(2): 82-|1974|
1031401|7440020|Nickel|Not reported|Unmeasured|Not coded||NR||NR||NR|Nais sp.|Oligochaete|Animalia|Annelida|||Oligochaeta|Haplotaxida|Naididae|Nais|sp.||Worms|Not reported||NR||NR||NR|Not reported|Not reported||NC||NC||NC|NC|Not coded|NR|Static|Fresh water|Lab|NR|Total||14100||NR||NR|ug/L|||||||||||||||||Total||14.1||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality||LC50*|Not reported|Not applicable||NA||NA||NA||4||NR||NR|Day(s)|Not reported|NR|74730|Insufficient|Not coded|||| ||17|||||C||6.2|||||mg/L||7.6|||||||||||NR|   |Rehwoldt,R., L. Lasko, C. Shaw, and E. Wirhowski|2020|The Acute Toxicity of Some Heavy Metal Ions Toward Benthic Organisms|Bull. Environ. Contam. Toxicol.10(5): 291-294|1973|
1167167|7440020|Nickel|Not reported|Measured|Not coded||NR||NR||NR|Lumbriculus variegatus|Oligochaete, Worm|Animalia|Annelida|||Clitellata|Lumbriculida|Lumbriculidae|Lumbriculus|variegatus||Worms; Standard Test Species|Not reported||NR||NR||NR|Not reported|Not reported||NC||NC||NC|NC|Not coded|NR|Flow-through|Fresh water|Lab|NR|Total||12160||NR||NR|ug/L|||||||||||||||||Total||12.16||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality||LC50|Not reported|Not applicable||NA||NA||NA||10||NR||NR|Day(s)|Not reported|NR|61662|Concurrent control|Not coded|||| ||||21||24|C|||||||NR|||||||||||||NR|   |Phipps,G.L., V.R. Mattson, and G.T. Ankley|14907|Relative Sensitivity of Three Freshwater Benthic Macroinvertebrates to Ten Contaminants|Arch. Environ. Contam. Toxicol.28(3): 281-286|1995|
