"Test Number"|"CAS Number "|" Chemical Name"|"Chemical Grade"|"Chemical Analysis"|"Test Method"|" Chemical Purity Mean Op "|" Chemical Purity Mean(%) "|" Chemical Purity Min Op "|" Chemical Purity Min(%) "|" Chemical Purity Max Op "|" Chemical Purity Max(%)"|"Species Scientific Name "|" Species Common Name"|"Species Kingdom "|" Species Phylum "|" Species Sub Phylum "|" Species Superclass "|" Species Class "|" Species Order "|" Species Family "|" Species Genus "|" Species "|" Variety"|"Species Group"|"Organism Lifestage"|" Organism Age Mean Op "|" Organism Age Mean "|" Organism Age Min Op "|" Organism Age Min "|" Organism Age Max Op "|" Organism Age Max "|" Age Units"|"Organism Source"|" Organism Initial Weight Mean Op "|" Organism Initial Weight Mean "|" Organism Initial Weight Min Op "|" Organism Initial Weight Min "|" Organism Initial Weight Max Op "|" Organism Initial Weight Max "|" Organism Initial Weight Units"|Gender|"Organism Comment"|"Exposure Type"|"Media Type"|"Test Location"|"Number of Doses"|"Conc 1 Type (Author) "|" Conc 1 Mean Op (Author) "|" Conc 1 Mean (Author) "|" Conc 1 Min Op (Author) "|" Conc Min 1 (Author) "|" Conc 1 Max Op (Author) "|" Conc 1 Max (Author) "|" Conc 1 Units (Author) "|" Conc 2 Type (Author) "|" Conc 2 Mean Op (Author) "|" Conc 2 Mean (Author) "|" Conc 2 Min Op (Author) "|" Conc Min 2 (Author) "|" Conc 2 Max Op (Author) "|" Conc 2 Max (Author) "|" Conc 2 Units (Author) "|" Conc 3 Type (Author) "|" Conc 3 Mean Op (Author) "|" Conc 3 Mean (Author) "|" Conc 3 Min Op (Author) "|" Conc Min 3 (Author) "|" Conc 3 Max Op (Author) "|" Conc 3 Max (Author) "|" Conc 3 Units (Author)"|"Conc 1 Type (Standardized) "|" Conc 1 Mean Op (Standardized) "|" Conc 1 Mean (Standardized) "|" Conc 1 Min Op (Standardized) "|" Conc Min 1 (Standardized) "|" Conc 1 Max Op (Standardized) "|" Conc 1 Max (Standardized) "|" Conc 1 Units (Standardized) "|" Conc 2 Type (Standardized) "|" Conc 2 Mean Op (Standardized) "|" Conc 2 Mean (Standardized) "|" Conc 2 Min Op (Standardized) "|" Conc Min 2 (Standardized) "|" Conc 2 Max Op (Standardized) "|" Conc 2 Max (Standardized) "|" Conc 2 Units (Standardized) "|" Conc 3 Type (Standardized) "|" Conc 3 Mean Op (Standardized) "|" Conc 3 Mean (Standardized) "|" Conc 3 Min Op (Standardized) "|" Conc Min 3 (Standardized) "|" Conc 3 Max Op (Standardized) "|" Conc 3 Max (Standardized) "|" Conc 3 Units (Standardized)"|Effect|"Effect Measurement"|"EE Comment"|Endpoint|"Response Site"|"Statistical Significance "|" Significance Level Mean Op "|" Significance Level Mean "|" Significance Level Min Op "|" Significance Level Min "|" Significance Level Max Op "|" Significance Level Max"|" Observed Duration Mean Op (Days) "|" Observed Duration Mean (Days) "|" Observed Duration Min Op (Days) "|" Observed Duration Min (Days) "|" Observed Duration Max Op (Days) "|" Observed Duration Max (Days) "|" Observed Duration Units (Days)"|"Chemical Formulation"|"Chemical Comment"|"Species NCBI TaxID"|Control|"Test Type"|Doses|"Experimental Design"|"Other Effects"|"Result Comment"|" Temperature Mean Op "|" Temperature Mean "|" Temperature Min Op "|" Temperature Min "|" Temperature Max Op "|" Temperature Max "|" Temperature Units"|" Dissolved Oxygen Mean Op "|" Dissolved Oxygen Mean "|" Dissolved Oxygen Min Op "|" Dissolved Oxygen Min "|" Dissolved Oxygen Max Op "|" Dissolved Oxygen Max "|" Dissolved Oxygen Units"|" pH Mean Op "|" pH Mean "|" pH Min Op "|" pH Min "|" pH Max Op "|" pH Max"|" Conductivity Mean Op "|" Conductivity Mean "|" Conductivity Min Op "|" Conductivity Min "|" Conductivity Max Op "|" Conductivity Max "|" Conductivity Units"|"General Comments"|"Author "|" Reference Number "|" Title "|" Source "|" Publication Year"|
1099236|7439976|Mercury|Not reported|Measured|Not coded||NR||NR||NR|Cyprinus carpio|Common Carp|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Cypriniformes|Cyprinidae|Cyprinus|carpio||Fish; Standard Test Species; U.S. Invasive Species|Juvenile||NR||NR||NR|Not reported|Not reported||NC||NC||NC|NC|Not coded|3.5 CM|Renewal|Fresh water|Lab|NR|Total||570||NR||NR|ug/L|||||||||||||||||Total||0.57||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality||LC50/|Not reported|Not applicable||NA||NA||NA||4||NR||NR|Day(s)|Not reported|NR|7962|Satisfactory|Not coded|||| ENDPT/SPEARMAN-KARBER// ||20|||||C||6.4|||||mg/L||7.1|||||||||||NR|   ENDPT/SPEARMAN-KARBER// |Alam,M.K., and O.E. Maughan|7085|The Effect of Malathion, Diazinon, and Various Concentrations of Zinc, Copper, Nickel, Lead, Iron, and Mercury on Fish|Biol. Trace Elem. Res.34(3): 225-236|1992|
1189838|7439976|Mercury|Not reported|Unmeasured|Not coded||NR||NR||NR|Cyprinus carpio|Common Carp|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Cypriniformes|Cyprinidae|Cyprinus|carpio||Fish; Standard Test Species; U.S. Invasive Species|Not reported||NR||NR||NR|Not reported|Not reported||NC||NC||NC|NC|Not coded|20 G|Not reported|Fresh water|Lab|NR|Total||500||NR||NR|ug/L|||||||||||||||||Total||0.5||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality||LC50|Not reported|Not applicable||NA||NA||NA||4||NR||NR|Day(s)|Not reported|NR|7962|Not reported|Not coded|||| ||28*|||||C||5.79*|||||mg/L||7.6*|||||||||||NR|   |Radhakrishnaiah,K., A. Suresh, and B. Sivaramakrishna|17040|Effect of Sublethal Concentration of Mercury and Zinc on the Energistics of a Freshwater Fish Cyprinus carpio (Linnaeus)|Acta Biol. Hung.44(4): 375-385|1993|
1099241|7439976|Mercury|Not reported|Measured|Not coded||NR||NR||NR|Cyprinus carpio|Common Carp|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Cypriniformes|Cyprinidae|Cyprinus|carpio||Fish; Standard Test Species; U.S. Invasive Species|Juvenile||NR||NR||NR|Not reported|Not reported||NC||NC||NC|NC|Not coded|6.5 CM|Renewal|Fresh water|Lab|NR|Total||770||NR||NR|ug/L|||||||||||||||||Total||0.77||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality||LC50/|Not reported|Not applicable||NA||NA||NA||4||NR||NR|Day(s)|Not reported|NR|7962|Satisfactory|Not coded|||| ENDPT/PROBIT//||15|||||C||6.4|||||mg/L||7.1|||||||||||NR|   ENDPT/PROBIT//|Alam,M.K., and O.E. Maughan|7085|The Effect of Malathion, Diazinon, and Various Concentrations of Zinc, Copper, Nickel, Lead, Iron, and Mercury on Fish|Biol. Trace Elem. Res.34(3): 225-236|1992|
1223154|7439976|Mercury|Not reported|Unmeasured|Not coded||NR||NR||NR|Cyprinus carpio|Common Carp|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Cypriniformes|Cyprinidae|Cyprinus|carpio||Fish; Standard Test Species; U.S. Invasive Species|Juvenile||NR||NR||NR|Not reported|Not reported||NC||NC||NC|NC|Not coded|3.5 CM|Renewal|Fresh water|Lab|NR|Total||0.71||NR||NR|ppm|||||||||||||||||Total||0.71||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality||LC50|Not reported|Not applicable||NA||NA||NA||4||NR||NR|Day(s)|Not reported|NR|7962|Concurrent control|Not coded|||| ||20|||||C||6.4|||||mg/L||7.1|||||||||||NR|   |Alam,M.K., and O.E. Maughan|45566|Acute Toxicity of Heavy Metals to Common Carp (Cyprinus carpio)|J. Environ. Sci. Health. Part A, Environ. Sci. Eng. Toxic Hazard. Substance Control30(8): 1807-1816|1995|
1099222|7439976|Mercury|Not reported|Measured|Not coded||NR||NR||NR|Cyprinus carpio|Common Carp|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Cypriniformes|Cyprinidae|Cyprinus|carpio||Fish; Standard Test Species; U.S. Invasive Species|Juvenile||NR||NR||NR|Not reported|Not reported||NC||NC||NC|NC|Not coded|6.5 CM|Renewal|Fresh water|Lab|NR|Total||940||NR||NR|ug/L|||||||||||||||||Total||0.94||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality||LC50/|Not reported|Not applicable||NA||NA||NA||4||NR||NR|Day(s)|Not reported|NR|7962|Satisfactory|Not coded|||| ENDPT/SPEARMAN-KARBER// ||15|||||C||6.4|||||mg/L||7.1|||||||||||NR|   ENDPT/SPEARMAN-KARBER// |Alam,M.K., and O.E. Maughan|7085|The Effect of Malathion, Diazinon, and Various Concentrations of Zinc, Copper, Nickel, Lead, Iron, and Mercury on Fish|Biol. Trace Elem. Res.34(3): 225-236|1992|
1099231|7439976|Mercury|Not reported|Measured|Not coded||NR||NR||NR|Cyprinus carpio|Common Carp|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Cypriniformes|Cyprinidae|Cyprinus|carpio||Fish; Standard Test Species; U.S. Invasive Species|Juvenile||NR||NR||NR|Not reported|Not reported||NC||NC||NC|NC|Not coded|3.5 CM|Renewal|Fresh water|Lab|NR|Total||160||NR||NR|ug/L|||||||||||||||||Total||0.16||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality||LC50/|Not reported|Not applicable||NA||NA||NA||4||NR||NR|Day(s)|Not reported|NR|7962|Satisfactory|Not coded|||| ENDPT/PROBIT//||20|||||C||6.4|||||mg/L||7.1|||||||||||NR|   ENDPT/PROBIT//|Alam,M.K., and O.E. Maughan|7085|The Effect of Malathion, Diazinon, and Various Concentrations of Zinc, Copper, Nickel, Lead, Iron, and Mercury on Fish|Biol. Trace Elem. Res.34(3): 225-236|1992|
1061583|7439976|Mercury|Not reported|Unmeasured|Not coded||NR||NR||NR|Carassius auratus|Goldfish|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Cypriniformes|Cyprinidae|Carassius|auratus||Fish; Standard Test Species; U.S. Invasive Species|Not reported||NR||NR||NR|Not reported|Not reported||NC||NC||NC|NC|Not coded|FERTILIZATION THROUGH 4 DPH|Renewal|Fresh water|Lab|NR|Total||120||NR||NR|ug/L|||||||||||||||||Total||0.12||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality||LC50|Not reported|Not applicable||NA||NA||NA||7||NR||NR|Day(s)|Not reported|NR|7957|Concurrent control|Not coded|||LC1, MEAN TOXICITY INDEX, PHENOL,MIXTURE| NR|||||||NR|||||||SAT||||7.0||7.8|||||||NR|   NR|Birge,W.J., J.A. Black, and A.G. Westerman|4943|Evaluation of Aquatic Pollutants Using Fish and Amphibian Eggs as Bioassay Organisms|In: S.W.Nielsen, G.Migaki, and D.G.Scarpelli (Eds.), Symp.Animals Monitors Environ.Pollut.1977, Storrs, CT12:108-118|1979|
1099237|7439976|Mercury|Not reported|Measured|Not coded||NR||NR||NR|Cyprinus carpio|Common Carp|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Cypriniformes|Cyprinidae|Cyprinus|carpio||Fish; Standard Test Species; U.S. Invasive Species|Juvenile||NR||NR||NR|Not reported|Not reported||NC||NC||NC|NC|Not coded|3.5 CM|Renewal|Fresh water|Lab|NR|Total||710||NR||NR|ug/L|||||||||||||||||Total||0.71||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality||LC50/|Not reported|Not applicable||NA||NA||NA||4||NR||NR|Day(s)|Not reported|NR|7962|Satisfactory|Not coded|||| ENDPT/PROBIT//||20|||||C||6.4|||||mg/L||7.1|||||||||||NR|   ENDPT/PROBIT//|Alam,M.K., and O.E. Maughan|7085|The Effect of Malathion, Diazinon, and Various Concentrations of Zinc, Copper, Nickel, Lead, Iron, and Mercury on Fish|Biol. Trace Elem. Res.34(3): 225-236|1992|
1030675|7439976|Mercury|Not reported|Unmeasured|Not coded||NR||NR||NR|Cyprinus carpio|Common Carp|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Cypriniformes|Cyprinidae|Cyprinus|carpio||Fish; Standard Test Species; U.S. Invasive Species|Not reported||NR||NR||NR|Not reported|Not reported||NC||NC||NC|NC|Not coded|NR|Static|Fresh water|Lab|NR|Total||0.33||NR||NR|ppm|||||||||||||||||Total||0.33||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality|MSMT/TLM////|LC50|Not reported|Not applicable||NA||NA||NA||1||NR||NR|Day(s)|Not reported|NR|7962|Not reported|Not coded|||TOXICITY RATIOS| ||28|||||C||6.9|||||mg/L||8.0|||||||||||NR|   |Rehwoldt,R., L.W. Menapace, B. Nerrie, and D. Allessandrello|2002|The Effect of Increased Temperature upon the Acute Toxicity of Some Heavy Metal Ions|Bull. Environ. Contam. Toxicol.8(2): 91-96|1972|
1223153|7439976|Mercury|Not reported|Unmeasured|Not coded||NR||NR||NR|Cyprinus carpio|Common Carp|Animalia|Chordata|Vertebrata|Osteichthyes|Actinopterygii|Cypriniformes|Cyprinidae|Cyprinus|carpio||Fish; Standard Test Species; U.S. Invasive Species|Juvenile||NR||NR||NR|Not reported|Not reported||NC||NC||NC|NC|Not coded|3.5 CM|Renewal|Fresh water|Lab|NR|Total||0.16||NR||NR|ppm|||||||||||||||||Total||0.16||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality||LC50|Not reported|Not applicable||NA||NA||NA||4||NR||NR|Day(s)|Not reported|NR|7962|Concurrent control|Not coded|||| ||20|||||C||6.4|||||mg/L||7.1|||||||||||NR|   |Alam,M.K., and O.E. Maughan|45566|Acute Toxicity of Heavy Metals to Common Carp (Cyprinus carpio)|J. Environ. Sci. Health. Part A, Environ. Sci. Eng. Toxic Hazard. Substance Control30(8): 1807-1816|1995|
