"Test Number"|"CAS Number "|" Chemical Name"|"Chemical Grade"|"Chemical Analysis"|"Test Method"|" Chemical Purity Mean Op "|" Chemical Purity Mean(%) "|" Chemical Purity Min Op "|" Chemical Purity Min(%) "|" Chemical Purity Max Op "|" Chemical Purity Max(%)"|"Species Scientific Name "|" Species Common Name"|"Species Kingdom "|" Species Phylum "|" Species Sub Phylum "|" Species Superclass "|" Species Class "|" Species Order "|" Species Family "|" Species Genus "|" Species "|" Variety"|"Species Group"|"Organism Lifestage"|" Organism Age Mean Op "|" Organism Age Mean "|" Organism Age Min Op "|" Organism Age Min "|" Organism Age Max Op "|" Organism Age Max "|" Age Units"|"Organism Source"|" Organism Initial Weight Mean Op "|" Organism Initial Weight Mean "|" Organism Initial Weight Min Op "|" Organism Initial Weight Min "|" Organism Initial Weight Max Op "|" Organism Initial Weight Max "|" Organism Initial Weight Units"|Gender|"Organism Comment"|"Exposure Type"|"Media Type"|"Test Location"|"Number of Doses"|"Conc 1 Type (Author) "|" Conc 1 Mean Op (Author) "|" Conc 1 Mean (Author) "|" Conc 1 Min Op (Author) "|" Conc Min 1 (Author) "|" Conc 1 Max Op (Author) "|" Conc 1 Max (Author) "|" Conc 1 Units (Author) "|" Conc 2 Type (Author) "|" Conc 2 Mean Op (Author) "|" Conc 2 Mean (Author) "|" Conc 2 Min Op (Author) "|" Conc Min 2 (Author) "|" Conc 2 Max Op (Author) "|" Conc 2 Max (Author) "|" Conc 2 Units (Author) "|" Conc 3 Type (Author) "|" Conc 3 Mean Op (Author) "|" Conc 3 Mean (Author) "|" Conc 3 Min Op (Author) "|" Conc Min 3 (Author) "|" Conc 3 Max Op (Author) "|" Conc 3 Max (Author) "|" Conc 3 Units (Author)"|"Conc 1 Type (Standardized) "|" Conc 1 Mean Op (Standardized) "|" Conc 1 Mean (Standardized) "|" Conc 1 Min Op (Standardized) "|" Conc Min 1 (Standardized) "|" Conc 1 Max Op (Standardized) "|" Conc 1 Max (Standardized) "|" Conc 1 Units (Standardized) "|" Conc 2 Type (Standardized) "|" Conc 2 Mean Op (Standardized) "|" Conc 2 Mean (Standardized) "|" Conc 2 Min Op (Standardized) "|" Conc Min 2 (Standardized) "|" Conc 2 Max Op (Standardized) "|" Conc 2 Max (Standardized) "|" Conc 2 Units (Standardized) "|" Conc 3 Type (Standardized) "|" Conc 3 Mean Op (Standardized) "|" Conc 3 Mean (Standardized) "|" Conc 3 Min Op (Standardized) "|" Conc Min 3 (Standardized) "|" Conc 3 Max Op (Standardized) "|" Conc 3 Max (Standardized) "|" Conc 3 Units (Standardized)"|Effect|"Effect Measurement"|"EE Comment"|Endpoint|"Response Site"|"Statistical Significance "|" Significance Level Mean Op "|" Significance Level Mean "|" Significance Level Min Op "|" Significance Level Min "|" Significance Level Max Op "|" Significance Level Max"|" Observed Duration Mean Op (Days) "|" Observed Duration Mean (Days) "|" Observed Duration Min Op (Days) "|" Observed Duration Min (Days) "|" Observed Duration Max Op (Days) "|" Observed Duration Max (Days) "|" Observed Duration Units (Days)"|"Chemical Formulation"|"Chemical Comment"|"Species NCBI TaxID"|Control|"Test Type"|Doses|"Experimental Design"|"Other Effects"|"Result Comment"|" Temperature Mean Op "|" Temperature Mean "|" Temperature Min Op "|" Temperature Min "|" Temperature Max Op "|" Temperature Max "|" Temperature Units"|" Dissolved Oxygen Mean Op "|" Dissolved Oxygen Mean "|" Dissolved Oxygen Min Op "|" Dissolved Oxygen Min "|" Dissolved Oxygen Max Op "|" Dissolved Oxygen Max "|" Dissolved Oxygen Units"|" pH Mean Op "|" pH Mean "|" pH Min Op "|" pH Min "|" pH Max Op "|" pH Max"|" Conductivity Mean Op "|" Conductivity Mean "|" Conductivity Min Op "|" Conductivity Min "|" Conductivity Max Op "|" Conductivity Max "|" Conductivity Units"|"General Comments"|"Author "|" Reference Number "|" Title "|" Source "|" Publication Year"|
1143985|7440439|Cadmium|Not reported|Measured|Not coded||NR||NR||NR|Physa fontinalis|Bladder Snail|Animalia|Mollusca|||Gastropoda|Basommatophora|Physidae|Physa|fontinalis||Molluscs|Not reported||NR||NR||NR|Not reported|Not reported||NC||NC||NC|NC|Not coded|10-12 MM|Flow-through|Fresh water|Lab|NR|Total||1800||NR||NR|ug/L|||||||||||||||||Total||1.8||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality|MSMT/TIME RESPONSE////|LC50|Not reported|Not applicable||NA||NA||NA||2||NR||NR|Day(s)|Not reported|NR|146087|Concurrent control|Not coded|||LT50| ||12|||||C|>|96|||||%||7.7||||||||216||488|umhos/cm|   |Williams,K.A., D.W.J. Green, and D. Pascoe|12041|Studies on the Acute Toxicity of Pollutants to Freshwater Macroinvertebrates. 1. Cadmium|Arch. Hydrobiol.102(4): 461-471|1985|
1143983|7440439|Cadmium|Not reported|Measured|Not coded||NR||NR||NR|Physa fontinalis|Bladder Snail|Animalia|Mollusca|||Gastropoda|Basommatophora|Physidae|Physa|fontinalis||Molluscs|Not reported||NR||NR||NR|Not reported|Not reported||NC||NC||NC|NC|Not coded|10-12 MM|Flow-through|Fresh water|Lab|NR|Total||4200||NR||NR|ug/L|||||||||||||||||Total||4.2||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality|MSMT/TIME RESPONSE////|LC50|Not reported|Not applicable||NA||NA||NA||1||NR||NR|Day(s)|Not reported|NR|146087|Concurrent control|Not coded|||LT50| ||12|||||C|>|96|||||%||7.7||||||||216||488|umhos/cm|   |Williams,K.A., D.W.J. Green, and D. Pascoe|12041|Studies on the Acute Toxicity of Pollutants to Freshwater Macroinvertebrates. 1. Cadmium|Arch. Hydrobiol.102(4): 461-471|1985|
1143988|7440439|Cadmium|Not reported|Measured|Not coded||NR||NR||NR|Physa fontinalis|Bladder Snail|Animalia|Mollusca|||Gastropoda|Basommatophora|Physidae|Physa|fontinalis||Molluscs|Not reported||NR||NR||NR|Not reported|Not reported||NC||NC||NC|NC|Not coded|10-12 MM|Flow-through|Fresh water|Lab|NR|Total||80||NR||NR|ug/L|||||||||||||||||Total||0.08||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality|MSMT/CONC RESPONSE////|LC50|Not reported|Not applicable||NA||NA||NA||4||NR||NR|Day(s)|Not reported|NR|146087|Concurrent control|Not coded|||LT50| ||12|||||C|>|96|||||%||7.7||||||||216||488|umhos/cm|   |Williams,K.A., D.W.J. Green, and D. Pascoe|12041|Studies on the Acute Toxicity of Pollutants to Freshwater Macroinvertebrates. 1. Cadmium|Arch. Hydrobiol.102(4): 461-471|1985|
1054254|7440439|Cadmium|Not reported|Unmeasured|Not coded||NR||NR||NR|Lamellidens marginalis|Mussel|Animalia|Mollusca|||Bivalvia|Unionoida|Unionidae|Lamellidens|marginalis||Molluscs|Not reported||NR||NR||NR|Not reported|Not reported||NC||NC||NC|NC|Not coded|5.0-6.0 CM|Renewal|Fresh water|Lab|NR|Total||10000||NR||NR|ug/L|||||||||||||||||Total||10||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality||LC50|Not reported|Not applicable||NA||NA||NA||4||NR||NR|Day(s)|Not reported|NR|644998|Insufficient|Not coded|||| |||||||NR|||||||NR|||||||||||||NR|   |Raj,A.I.M., and P.S. Hameed|3776|Effect of Copper, Cadmium and Mercury on Metabolism of the Freshwater Mussel Lamellidens marginalis (Lamarck)|J. Environ. Biol.12(2): 131-135|1991|
1031458|7440439|Cadmium|Not reported|Unmeasured|Not coded||NR||NR||NR|Physa gyrina|Pouch Snail|Animalia|Mollusca|||Gastropoda|Basommatophora|Physidae|Physa|gyrina||Molluscs|Adult||NR||NR||NR|Not reported|Not reported||NC||NC||NC|NC|Not coded|NR|Static|Fresh water|Lab|NR|Total||1370||NR||NR|ug/L|||||||||||||||||Total||1.37||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality||LC50*|Not reported|Not applicable||NA||NA||NA||4||NR||NR|Day(s)|Not reported|NR|175860|Satisfactory|Not coded|||UPTAKE, ELIMINIATION| |||||||NR|||||||NR|||||||||||||NR|   |Wier,C.F., and W.M. Walter|2021|Toxicity of Cadmium in the Freshwater Snail, Physa gyrina Say|J. Environ. Qual.5(4): 359-362|1976|
1031459|7440439|Cadmium|Not reported|Unmeasured|Not coded||NR||NR||NR|Physa gyrina|Pouch Snail|Animalia|Mollusca|||Gastropoda|Basommatophora|Physidae|Physa|gyrina||Molluscs|Adult||NR||NR||NR|Not reported|Not reported||NC||NC||NC|NC|Not coded|NR|Static|Fresh water|Lab|NR|Total||830||NR||NR|ug/L|||||||||||||||||Total||0.83||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality||LC50*|Not reported|Not applicable||NA||NA||NA||9.5||NR||NR|Day(s)|Not reported|NR|175860|Satisfactory|Not coded|||UPTAKE, ELIMINIATION| |||||||NR|||||||NR|||||||||||||NR|   |Wier,C.F., and W.M. Walter|2021|Toxicity of Cadmium in the Freshwater Snail, Physa gyrina Say|J. Environ. Qual.5(4): 359-362|1976|
1031460|7440439|Cadmium|Not reported|Unmeasured|Not coded||NR||NR||NR|Physa gyrina|Pouch Snail|Animalia|Mollusca|||Gastropoda|Basommatophora|Physidae|Physa|gyrina||Molluscs|Juvenile||NR||NR||NR|Not reported|Not reported||NC||NC||NC|NC|Not coded|NR|Static|Fresh water|Lab|NR|Total||690||NR||NR|ug/L|||||||||||||||||Total||0.69||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality||LC50*|Not reported|Not applicable||NA||NA||NA||2||NR||NR|Day(s)|Not reported|NR|175860|Satisfactory|Not coded|||UPTAKE, ELIMINIATION| |||||||NR|||||||NR|||||||||||||NR|   |Wier,C.F., and W.M. Walter|2021|Toxicity of Cadmium in the Freshwater Snail, Physa gyrina Say|J. Environ. Qual.5(4): 359-362|1976|
1143986|7440439|Cadmium|Not reported|Measured|Not coded||NR||NR||NR|Physa fontinalis|Bladder Snail|Animalia|Mollusca|||Gastropoda|Basommatophora|Physidae|Physa|fontinalis||Molluscs|Not reported||NR||NR||NR|Not reported|Not reported||NC||NC||NC|NC|Not coded|10-12 MM|Flow-through|Fresh water|Lab|NR|Total||2100||NR||NR|ug/L|||||||||||||||||Total||2.1||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality|MSMT/CONC RESPONSE////|LC50|Not reported|Not applicable||NA||NA||NA||2||NR||NR|Day(s)|Not reported|NR|146087|Concurrent control|Not coded|||LT50| ||12|||||C|>|96|||||%||7.7||||||||216||488|umhos/cm|   |Williams,K.A., D.W.J. Green, and D. Pascoe|12041|Studies on the Acute Toxicity of Pollutants to Freshwater Macroinvertebrates. 1. Cadmium|Arch. Hydrobiol.102(4): 461-471|1985|
1031457|7440439|Cadmium|Not reported|Unmeasured|Not coded||NR||NR||NR|Physa gyrina|Pouch Snail|Animalia|Mollusca|||Gastropoda|Basommatophora|Physidae|Physa|gyrina||Molluscs|Adult||NR||NR||NR|Not reported|Not reported||NC||NC||NC|NC|Not coded|NR|Static|Fresh water|Lab|NR|Total||4250||NR||NR|ug/L|||||||||||||||||Total||4.25||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality||LC50*|Not reported|Not applicable||NA||NA||NA||2||NR||NR|Day(s)|Not reported|NR|175860|Satisfactory|Not coded|||UPTAKE, ELIMINIATION| |||||||NR|||||||NR|||||||||||||NR|   |Wier,C.F., and W.M. Walter|2021|Toxicity of Cadmium in the Freshwater Snail, Physa gyrina Say|J. Environ. Qual.5(4): 359-362|1976|
1143987|7440439|Cadmium|Not reported|Measured|Not coded||NR||NR||NR|Physa fontinalis|Bladder Snail|Animalia|Mollusca|||Gastropoda|Basommatophora|Physidae|Physa|fontinalis||Molluscs|Not reported||NR||NR||NR|Not reported|Not reported||NC||NC||NC|NC|Not coded|10-12 MM|Flow-through|Fresh water|Lab|NR|Total||80||NR||NR|ug/L|||||||||||||||||Total||0.08||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality|MSMT/TIME RESPONSE////|LC50|Not reported|Not applicable||NA||NA||NA||4||NR||NR|Day(s)|Not reported|NR|146087|Concurrent control|Not coded|||LT50| ||12|||||C|>|96|||||%||7.7||||||||216||488|umhos/cm|   |Williams,K.A., D.W.J. Green, and D. Pascoe|12041|Studies on the Acute Toxicity of Pollutants to Freshwater Macroinvertebrates. 1. Cadmium|Arch. Hydrobiol.102(4): 461-471|1985|
